Date,Open,High,Low,Close,Volume,Adj Close
2006-10-02,21.83,25.27,21.37,24.27,3069500,7.51
2006-09-01,22.00,23.69,20.01,21.67,3249500,6.71
2006-08-01,24.66,25.20,21.63,22.41,3827500,6.93
2006-07-03,25.93,27.33,23.67,25.00,2761800,7.74
2006-06-01,25.17,26.90,21.93,25.88,3832000,8.01
2006-05-02,26.47,30.13,22.70,25.17,4889900,7.79
2006-04-03,26.67,27.96,25.02,26.50,2903700,8.20
2006-03-01,23.34,26.83,22.36,26.75,3426900,8.28
2006-02-01,24.00,25.33,20.75,23.38,3574400,7.24
2006-01-02,17.66,24.89,17.33,24.10,3745100,7.46
2005-12-01,17.27,19.02,16.84,18.53,2321900,5.74
2005-11-01,15.32,17.23,14.69,17.23,3344100,5.33
2005-10-03,17.30,17.83,13.18,15.16,4604100,4.69
2005-09-01,15.57,18.67,15.20,17.30,3821200,5.35
2005-08-01,14.00,16.49,13.86,16.29,4766100,5.04
2005-07-01,12.83,14.67,11.54,14.26,5825800,4.41
2005-06-01,15.17,15.51,12.34,12.70,4132900,3.93
2005-05-02,16.73,18.10,13.00,15.03,4863500,4.65
2005-04-01,19.42,19.77,15.37,16.67,3877100,5.16
2005-03-01,22.69,23.50,18.23,19.17,3610200,5.93
2005-02-01,17.80,23.67,17.74,22.97,3504300,7.11
2005-01-03,18.07,18.20,15.78,17.83,2915800,5.52
2004-12-01,18.10,18.60,16.33,17.98,2575800,5.57
2004-11-01,14.57,18.32,14.20,18.32,3343300,5.67
2004-10-01,14.93,16.20,12.73,14.34,3780600,4.44
2004-09-01,15.34,15.65,13.51,14.77,2600600,4.57
2004-08-02,14.23,15.90,13.44,15.43,3348800,4.78
2004-07-01,10.77,14.50,10.52,14.38,3581100,4.45
2004-06-01,9.70,10.85,9.60,10.73,3539700,3.32
2004-05-03,9.67,10.48,7.90,9.88,3924500,3.06
2004-04-01,13.27,14.17,9.57,9.67,3418000,2.99
2004-03-01,11.42,13.57,11.17,13.17,2739900,4.07
2004-02-02,10.04,12.06,9.07,11.08,3155600,3.43
2004-01-02,11.33,13.73,9.93,10.25,2958200,3.17
2003-12-01,9.38,11.42,9.16,11.32,2257100,3.50
2003-11-03,7.83,9.42,7.51,9.30,2132000,2.88
2003-10-01,6.57,8.82,6.57,7.65,3375000,2.37
2003-09-01,5.70,6.57,5.67,6.50,2896700,2.01
2003-08-01,5.08,6.20,4.60,5.67,5104300,1.75
2003-07-01,4.42,5.45,4.20,5.07,2727200,1.57
2003-06-02,3.64,4.39,3.57,4.38,2206200,1.36
2003-05-02,3.58,3.75,3.23,3.63,1823400,1.12
2003-04-01,3.08,3.83,2.97,3.57,3540400,1.11
2003-03-05,2.50,3.12,2.42,3.05,2103600,0.94
2003-02-03,2.50,2.61,2.34,2.52,1739600,0.78
2003-01-02,2.19,2.54,2.19,2.47,1874600,0.76
2002-12-02,2.05,2.25,1.93,2.19,1952100,0.68
2002-11-01,1.78,2.11,1.64,2.04,1800100,0.63
2002-10-01,1.50,1.87,1.33,1.78,2347400,0.55
2002-09-02,1.93,1.96,1.46,1.49,1441300,0.46
2002-08-01,1.75,2.03,1.60,1.91,2722600,0.59
2002-07-01,2.27,2.33,1.68,1.75,1918600,0.54
2002-06-03,2.55,2.62,2.03,2.27,1468900,0.70
2002-05-02,2.67,2.69,2.30,2.55,1586400,0.79
2002-04-01,2.50,2.79,2.41,2.67,2714400,0.83
2002-03-01,2.60,2.74,2.31,2.50,2514400,0.77
2002-02-01,2.37,2.78,2.30,2.73,1732400,0.85
2002-01-02,2.17,2.43,2.10,2.39,1399900,0.74
2001-12-03,1.90,2.23,1.90,2.17,1715100,0.67
2001-11-01,1.30,2.27,1.28,1.92,3175100,0.59
2001-10-01,1.29,1.43,1.20,1.31,2120200,0.40
2001-09-03,1.93,1.99,1.25,1.32,1899400,0.41
2001-08-01,2.08,2.18,1.90,1.90,1124000,0.59
2001-07-02,2.17,2.23,1.97,2.10,996000,0.65
2001-06-01,2.17,2.35,2.03,2.18,1900100,0.67
2001-05-03,2.87,2.99,1.95,2.17,2508300,0.67
2001-04-02,2.81,3.23,2.72,2.84,1224600,0.88
2001-03-01,3.47,3.83,2.79,2.86,1913600,0.89
2001-02-01,3.84,3.93,3.47,3.47,1282800,1.07
2001-01-02,2.90,4.00,2.90,3.97,1346400,1.23
2000-12-01,2.77,3.15,2.63,2.93,851600,0.91
2000-11-01,3.30,3.37,2.67,2.67,795900,0.83
2000-10-02,3.50,3.57,2.77,3.27,681600,1.01
2000-09-01,3.57,3.89,3.37,3.50,976900,1.08
2000-08-01,3.27,3.96,3.10,3.53,1746900,1.09
2000-07-03,2.80,3.42,2.80,3.27,1706300,1.01
2000-06-01,2.70,2.93,2.40,2.78,1704900,0.86
2000-05-01,2.52,3.07,2.42,2.67,975600,0.83
2000-04-03,2.92,3.10,2.32,2.52,1084300,0.78
2000-03-01,3.13,3.37,2.85,2.88,1358800,0.89
2000-02-01,3.57,3.93,3.13,3.17,902300,0.98
2000-01-03,3.27,4.33,3.08,3.50,1259200,1.08
